Task,Function
Randomly set the image's saturation,"def random_saturation(image):
    image = np.array(image, dtype=np.float64)
    random_scale = np.random.uniform(low=0.5, high=1.5)
    image[:, :, 1] *= random_scale
    image[image[:, :, 1] > 255] = 255
    image = np.array(image, dtype=np.uint8)
    return image"
Randomly set the image's saturation,"def random_saturation(image, lower=0.5, upper=1.5):
    image = cv2.cvtColor(image, cv2.COLOR_BGR2HSV)
    saturation = np.random.uniform(lower, upper)
    image[:, :, 1] = image[:, :, 1] * saturation
    image = cv2.cvtColor(image, cv2.COLOR_HSV2BGR)
    return image"
Randomly set the image's saturation,"def saturation(image):
    saturation_factor = np.random.uniform(low=0.5, high=1.5)
    image_HLS = cv2.cvtColor(image, cv2.COLOR_RGB2HLS)
    image_HLS[:, :, 1] = image_HLS[:, :, 1] * saturation_factor
    image_RGB = cv2.cvtColor(image_HLS, cv2.COLOR_HLS2RGB)
    return image_RGB"
Randomly set the image's saturation,"def random_saturation(img, lower=0.5, upper=1.5):
    img = cv2.cvtColor(img, cv2.COLOR_BGR2HSV)
    img = np.array(img, dtype=np.float32)
    random_scale = np.random.uniform(lower, upper)
    img[:, :, 1] = img[:, :, 1] * random_scale
    img[:, :, 1][img[:, :, 1] > 255] = 255
    img = np.array(img, dtype=np.uint8)
    img = cv2.cvtColor(img, cv2.COLOR_HSV2BGR)
    return img"
Randomly set the image's saturation,"def random_saturation(image, mask, lower=0.5, upper=1.5, u=0.5):
    if np.random.random() < u:
        x = random_channel_shift(image, np.random.uniform(lower, upper))
        y = random_channel_shift(mask, np.random.uniform(lower, upper))
    else:
        x = image
        y = mask
    return x, y"
Randomly adjust the image's saturation,"def random_saturation(image, mask, lower=0.5, upper=1.5, u=0.5):
    if np.random.random() < u:
        x = random_channel_shift(image, np.random.uniform(lower, upper))
        y = random_channel_shift(mask, np.random.uniform(lower, upper))
    else:
        x = image
        y = mask
    return x, y"
Randomly adjust the image's saturation,"def random_saturation(image, lower=0.5, upper=1.5):
    image = tf.image.random_saturation(image, lower, upper)
    return image"
Randomly adjust the image's saturation,"def random_saturation(image, lower=0.5, upper=1.5):
    if not _is_numpy_image(image):
        raise TypeError('Input image should be 3D array.')

    saturation_factor = np.random.uniform(lower, upper)

    hsv = cv2.cvtColor(image, cv2.COLOR_RGB2HSV)
    hsv[:, :, 1] = hsv[:, :, 1] * saturation_factor
    return cv2.cvtColor(hsv, cv2.COLOR_HSV2RGB)"
Randomly adjust the image's saturation,"def randomize_saturation(image, lower=0.5, upper=1.5):
    img = image.astype(np.float32)
    img = img * np.random.uniform(lower, upper)
    img = img.clip(0, 255).astype(np.uint8)
    return img"
Randomly adjust the image's saturation,"def random_saturation(image, lower=0.5, upper=1.5):
    image = cv2.cvtColor(image, cv2.COLOR_BGR2HSV)
    saturation = np.random.uniform(lower, upper)
    image[:, :, 1] = image[:, :, 1] * saturation
    image = cv2.cvtColor(image, cv2.COLOR_HSV2BGR)
    return image"
Randomly adjust the image's saturation,"def saturation(image):
    saturation_factor = np.random.uniform(low=0.5, high=1.5)
    image_HLS = cv2.cvtColor(image, cv2.COLOR_RGB2HLS)
    image_HLS[:, :, 1] = image_HLS[:, :, 1] * saturation_factor
    image_RGB = cv2.cvtColor(image_HLS, cv2.COLOR_HLS2RGB)
    return image_RGB"
Randomly adjust the image's saturation,"def random_saturation(img, lower=0.5, upper=1.5):
    img = cv2.cvtColor(img, cv2.COLOR_BGR2HSV)
    img = np.array(img, dtype=np.float32)
    random_scale = np.random.uniform(lower, upper)
    img[:, :, 1] = img[:, :, 1] * random_scale
    img[:, :, 1][img[:, :, 1] > 255] = 255
    img = np.array(img, dtype=np.uint8)
    img = cv2.cvtColor(img, cv2.COLOR_HSV2BGR)
    return img"
Randomly adjust the image's saturation,"def random_saturation(image, mask, lower=0.5, upper=1.5, u=0.5):
    if np.random.random() < u:
        x = random_channel_shift(image, np.random.uniform(lower, upper))
        y = random_channel_shift(mask, np.random.uniform(lower, upper))
    else:
        x = image
        y = mask
    return x, y"
Change the saturation of an image at random,"def random_saturation(image, mask, lower=0.5, upper=1.5, u=0.5):
    if np.random.random() < u:
        x = random_channel_shift(image, np.random.uniform(lower, upper))
        y = random_channel_shift(mask, np.random.uniform(lower, upper))
    else:
        x = image
        y = mask
    return x, y"
Change the saturation of an image at random,"def random_saturation(image, lower=0.5, upper=1.5):
    image = tf.image.random_saturation(image, lower, upper)
    return image"
Change the saturation of an image at random,"def random_saturation(image, lower=0.5, upper=1.5):
    if not _is_numpy_image(image):
        raise TypeError('Input image should be 3D array.')

    saturation_factor = np.random.uniform(lower, upper)

    hsv = cv2.cvtColor(image, cv2.COLOR_RGB2HSV)
    hsv[:, :, 1] = hsv[:, :, 1] * saturation_factor
    return cv2.cvtColor(hsv, cv2.COLOR_HSV2RGB)"
Change the saturation of an image at random,"def randomize_saturation(image, lower=0.5, upper=1.5):
    img = image.astype(np.float32)
    img = img * np.random.uniform(lower, upper)
    img = img.clip(0, 255).astype(np.uint8)
    return img"
Change the saturation of an image at random,"def random_saturation(image):
    image = np.array(image, dtype=np.float64)
    random_scale = np.random.uniform(low=0.5, high=1.5)
    image[:, :, 1] *= random_scale
    image[image[:, :, 1] > 255] = 255
    image = np.array(image, dtype=np.uint8)
    return image"
Change the saturation of an image at random,"def saturation(image):
    saturation_factor = np.random.uniform(low=0.5, high=1.5)
    image_HLS = cv2.cvtColor(image, cv2.COLOR_RGB2HLS)
    image_HLS[:, :, 1] = image_HLS[:, :, 1] * saturation_factor
    image_RGB = cv2.cvtColor(image_HLS, cv2.COLOR_HLS2RGB)
    return image_RGB"
Change the saturation of an image at random,"def random_saturation(img, lower=0.5, upper=1.5):
    img = cv2.cvtColor(img, cv2.COLOR_BGR2HSV)
    img = np.array(img, dtype=np.float32)
    random_scale = np.random.uniform(lower, upper)
    img[:, :, 1] = img[:, :, 1] * random_scale
    img[:, :, 1][img[:, :, 1] > 255] = 255
    img = np.array(img, dtype=np.uint8)
    img = cv2.cvtColor(img, cv2.COLOR_HSV2BGR)
    return img"
Change the saturation of an image at random,"def random_saturation(image, mask, lower=0.5, upper=1.5, u=0.5):
    if np.random.random() < u:
        x = random_channel_shift(image, np.random.uniform(lower, upper))
        y = random_channel_shift(mask, np.random.uniform(lower, upper))
    else:
        x = image
        y = mask
    return x, y"
Randomize image saturation,"def random_saturation(image, mask, lower=0.5, upper=1.5, u=0.5):
    if np.random.random() < u:
        x = random_channel_shift(image, np.random.uniform(lower, upper))
        y = random_channel_shift(mask, np.random.uniform(lower, upper))
    else:
        x = image
        y = mask
    return x, y"
Randomize image saturation,"def random_saturation(image, lower=0.5, upper=1.5):
    image = tf.image.random_saturation(image, lower, upper)
    return image"
Randomize image saturation,"def random_saturation(image, lower=0.5, upper=1.5):
    if not _is_numpy_image(image):
        raise TypeError('Input image should be 3D array.')

    saturation_factor = np.random.uniform(lower, upper)

    hsv = cv2.cvtColor(image, cv2.COLOR_RGB2HSV)
    hsv[:, :, 1] = hsv[:, :, 1] * saturation_factor
    return cv2.cvtColor(hsv, cv2.COLOR_HSV2RGB)"
Randomize image saturation,"def randomize_saturation(image, lower=0.5, upper=1.5):
    img = image.astype(np.float32)
    img = img * np.random.uniform(lower, upper)
    img = img.clip(0, 255).astype(np.uint8)
    return img"
Randomize image saturation,"def random_saturation(image):
    image = np.array(image, dtype=np.float64)
    random_scale = np.random.uniform(low=0.5, high=1.5)
    image[:, :, 1] *= random_scale
    image[image[:, :, 1] > 255] = 255
    image = np.array(image, dtype=np.uint8)
    return image"
Randomize image saturation,"def random_saturation(image, lower=0.5, upper=1.5):
    image = cv2.cvtColor(image, cv2.COLOR_BGR2HSV)
    saturation = np.random.uniform(lower, upper)
    image[:, :, 1] = image[:, :, 1] * saturation
    image = cv2.cvtColor(image, cv2.COLOR_HSV2BGR)
    return image"
Randomize image saturation,"def random_saturation(img, lower=0.5, upper=1.5):
    img = cv2.cvtColor(img, cv2.COLOR_BGR2HSV)
    img = np.array(img, dtype=np.float32)
    random_scale = np.random.uniform(lower, upper)
    img[:, :, 1] = img[:, :, 1] * random_scale
    img[:, :, 1][img[:, :, 1] > 255] = 255
    img = np.array(img, dtype=np.uint8)
    img = cv2.cvtColor(img, cv2.COLOR_HSV2BGR)
    return img"
Randomize image saturation,"def random_saturation(image, mask, lower=0.5, upper=1.5, u=0.5):
    if np.random.random() < u:
        x = random_channel_shift(image, np.random.uniform(lower, upper))
        y = random_channel_shift(mask, np.random.uniform(lower, upper))
    else:
        x = image
        y = mask
    return x, y"
Alter the image saturation randomly,"def random_saturation(image, mask, lower=0.5, upper=1.5, u=0.5):
    if np.random.random() < u:
        x = random_channel_shift(image, np.random.uniform(lower, upper))
        y = random_channel_shift(mask, np.random.uniform(lower, upper))
    else:
        x = image
        y = mask
    return x, y"
Alter the image saturation randomly,"def random_saturation(image, lower=0.5, upper=1.5):
    image = tf.image.random_saturation(image, lower, upper)
    return image"
Alter the image saturation randomly,"def random_saturation(image, lower=0.5, upper=1.5):
    if not _is_numpy_image(image):
        raise TypeError('Input image should be 3D array.')

    saturation_factor = np.random.uniform(lower, upper)

    hsv = cv2.cvtColor(image, cv2.COLOR_RGB2HSV)
    hsv[:, :, 1] = hsv[:, :, 1] * saturation_factor
    return cv2.cvtColor(hsv, cv2.COLOR_HSV2RGB)"
Alter the image saturation randomly,"def randomize_saturation(image, lower=0.5, upper=1.5):
    img = image.astype(np.float32)
    img = img * np.random.uniform(lower, upper)
    img = img.clip(0, 255).astype(np.uint8)
    return img"
Alter the image saturation randomly,"def random_saturation(image):
    image = np.array(image, dtype=np.float64)
    random_scale = np.random.uniform(low=0.5, high=1.5)
    image[:, :, 1] *= random_scale
    image[image[:, :, 1] > 255] = 255
    image = np.array(image, dtype=np.uint8)
    return image"
Alter the image saturation randomly,"def random_saturation(image, lower=0.5, upper=1.5):
    image = cv2.cvtColor(image, cv2.COLOR_BGR2HSV)
    saturation = np.random.uniform(lower, upper)
    image[:, :, 1] = image[:, :, 1] * saturation
    image = cv2.cvtColor(image, cv2.COLOR_HSV2BGR)
    return image"
Alter the image saturation randomly,"def saturation(image):
    saturation_factor = np.random.uniform(low=0.5, high=1.5)
    image_HLS = cv2.cvtColor(image, cv2.COLOR_RGB2HLS)
    image_HLS[:, :, 1] = image_HLS[:, :, 1] * saturation_factor
    image_RGB = cv2.cvtColor(image_HLS, cv2.COLOR_HLS2RGB)
    return image_RGB"
Alter the image saturation randomly,"def random_saturation(image, mask, lower=0.5, upper=1.5, u=0.5):
    if np.random.random() < u:
        x = random_channel_shift(image, np.random.uniform(lower, upper))
        y = random_channel_shift(mask, np.random.uniform(lower, upper))
    else:
        x = image
        y = mask
    return x, y"
Alter the saturation of image randomly,"def random_saturation(image, mask, lower=0.5, upper=1.5, u=0.5):
    if np.random.random() < u:
        x = random_channel_shift(image, np.random.uniform(lower, upper))
        y = random_channel_shift(mask, np.random.uniform(lower, upper))
    else:
        x = image
        y = mask
    return x, y"
Alter the saturation of image randomly,"def random_saturation(image, lower=0.5, upper=1.5):
    image = tf.image.random_saturation(image, lower, upper)
    return image"
Alter the saturation of image randomly,"def random_saturation(image, lower=0.5, upper=1.5):
    if not _is_numpy_image(image):
        raise TypeError('Input image should be 3D array.')

    saturation_factor = np.random.uniform(lower, upper)

    hsv = cv2.cvtColor(image, cv2.COLOR_RGB2HSV)
    hsv[:, :, 1] = hsv[:, :, 1] * saturation_factor
    return cv2.cvtColor(hsv, cv2.COLOR_HSV2RGB)"
Alter the saturation of image randomly,"def randomize_saturation(image, lower=0.5, upper=1.5):
    img = image.astype(np.float32)
    img = img * np.random.uniform(lower, upper)
    img = img.clip(0, 255).astype(np.uint8)
    return img"
Alter the saturation of image randomly,"def random_saturation(image):
    image = np.array(image, dtype=np.float64)
    random_scale = np.random.uniform(low=0.5, high=1.5)
    image[:, :, 1] *= random_scale
    image[image[:, :, 1] > 255] = 255
    image = np.array(image, dtype=np.uint8)
    return image"
Alter the saturation of image randomly,"def random_saturation(image, lower=0.5, upper=1.5):
    image = cv2.cvtColor(image, cv2.COLOR_BGR2HSV)
    saturation = np.random.uniform(lower, upper)
    image[:, :, 1] = image[:, :, 1] * saturation
    image = cv2.cvtColor(image, cv2.COLOR_HSV2BGR)
    return image"
Alter the saturation of image randomly,"def saturation(image):
    saturation_factor = np.random.uniform(low=0.5, high=1.5)
    image_HLS = cv2.cvtColor(image, cv2.COLOR_RGB2HLS)
    image_HLS[:, :, 1] = image_HLS[:, :, 1] * saturation_factor
    image_RGB = cv2.cvtColor(image_HLS, cv2.COLOR_HLS2RGB)
    return image_RGB"
Alter the saturation of image randomly,"def random_saturation(img, lower=0.5, upper=1.5):
    img = cv2.cvtColor(img, cv2.COLOR_BGR2HSV)
    img = np.array(img, dtype=np.float32)
    random_scale = np.random.uniform(lower, upper)
    img[:, :, 1] = img[:, :, 1] * random_scale
    img[:, :, 1][img[:, :, 1] > 255] = 255
    img = np.array(img, dtype=np.uint8)
    img = cv2.cvtColor(img, cv2.COLOR_HSV2BGR)
    return img"
