,Task,Function
1457,Zoom an image randomly,"def random_zoom(img, zoom_range):
    if random.random() < 0.5:
        zoom_factor = random.uniform(1, zoom_range)
        img = zoom(img, zoom_factor)
    return img"
1458,Zoom an image randomly,"def zoom(img, zoom_factor):
    height, width = img.shape[:2]
    new_height, new_width = int(height * zoom_factor), int(width * zoom_factor)
    y1, x1 = random.randint(0, height - new_height), random.randint(0, width - new_width)
    y2, x2 = y1 + new_height, x1 + new_width
    bbox = np.array([y1, x1, y2, x2])
    bbox = bbox.astype(np.float32)
    return img[y1:y2, x1:x2], bbox"
1459,Zoom in on an image at random,"def zoom(img, zoom_factor):
    height, width = img.shape[:2]
    new_height, new_width = int(height * zoom_factor), int(width * zoom_factor)
    y1, x1 = random.randint(0, height - new_height), random.randint(0, width - new_width)
    y2, x2 = y1 + new_height, x1 + new_width
    bbox = np.array([y1, x1, y2, x2])
    bbox = bbox.astype(np.float32)
    return img[y1:y2, x1:x2], bbox"
1460,Zoom in on an image at random,"def random_zoom(img, zoom_range):
    if random.random() < 0.5:
        zoom_factor = random.uniform(1, zoom_range)
        img = zoom(img, zoom_factor)
    return img"
1461,Zoom in on an image at random,"def zoom(img, zoom_factor):
    height, width = img.shape[:2]
    new_height, new_width = int(height * zoom_factor), int(width * zoom_factor)
    y1, x1 = random.randint(0, height - new_height), random.randint(0, width - new_width)
    y2, x2 = y1 + new_height, x1 + new_width
    bbox = np.array([y1, x1, y2, x2])
    bbox = bbox.astype(np.float32)
    return img[y1:y2, x1:x2], bbox"
1462,Create a random zoom effect on an image,"def zoom(img, zoom_factor):
    height, width = img.shape[:2]
    new_height, new_width = int(height * zoom_factor), int(width * zoom_factor)
    y1, x1 = random.randint(0, height - new_height), random.randint(0, width - new_width)
    y2, x2 = y1 + new_height, x1 + new_width
    bbox = np.array([y1, x1, y2, x2])
    bbox = bbox.astype(np.float32)
    return img[y1:y2, x1:x2], bbox"
1463,Create a random zoom effect on an image,"def random_zoom(img, zoom_range):
    if random.random() < 0.5:
        zoom_factor = random.uniform(1, zoom_range)
        img = zoom(img, zoom_factor)
    return img"
1464,Create a random zoom effect on an image,"def zoom(img, zoom_factor):
    height, width = img.shape[:2]
    new_height, new_width = int(height * zoom_factor), int(width * zoom_factor)
    y1, x1 = random.randint(0, height - new_height), random.randint(0, width - new_width)
    y2, x2 = y1 + new_height, x1 + new_width
    bbox = np.array([y1, x1, y2, x2])
    bbox = bbox.astype(np.float32)
    return img[y1:y2, x1:x2], bbox"
1465,Zoom randomly,"def random_zoom(image, mask, zoom_range=(0.9, 1.1), row_axis=0, col_axis=1, channel_axis=2,
                fill_mode='nearest', cval=0., u=0.5):
    if np.random.random() < u:
        zx, zy = np.random.uniform(zoom_range[0], zoom_range[1], 2)
        zoom_matrix = np.array([[zx, 0, 0],
                                [0, zy, 0],
                                [0, 0, 1]])

        h, w = image.shape[row_axis], image.shape[col_axis]
        transform_matrix = transform_matrix_offset_center(zoom_matrix, h, w)
        image = apply_transform(image, transform_matrix, channel_axis, fill_mode, cval)
        mask = apply_transform(mask, transform_matrix, channel_axis, fill_mode, cval)

    return image, mask"
1466,Zoom randomly,"def zoom(img, zoom_factor):
    height, width = img.shape[:2]
    new_height, new_width = int(height * zoom_factor), int(width * zoom_factor)
    y1, x1 = random.randint(0, height - new_height), random.randint(0, width - new_width)
    y2, x2 = y1 + new_height, x1 + new_width
    bbox = np.array([y1, x1, y2, x2])
    bbox = bbox.astype(np.float32)
    return img[y1:y2, x1:x2], bbox"
1467,Change the brighntess of image randomly,"def random_brightness(image, mask, brightness_range=(-0.5, 0.5), u=0.5):
    if np.random.random() < u:
        x = random_channel_shift(image, np.random.uniform(brightness_range[0], brightness_range[1]))
        y = random_channel_shift(mask, np.random.uniform(brightness_range[0], brightness_range[1]))
    else:
        x = image
        y = mask
    return x, y"
1468,Randomly alter the brightness of the image,"def random_brightness(image):
    hsv = cv2.cvtColor(image,cv2.COLOR_BGR2HSV)
    rand = random.uniform(0.3,1.0)
    hsv[:,:,2] = rand*hsv[:,:,2]
    new_img = cv2.cvtColor(hsv,cv2.COLOR_HSV2BGR)
    return new_img"
1469,Alter the image's brighntess at random,"def random_brightness(image):
    hsv = cv2.cvtColor(image, cv2.COLOR_RGB2HSV)
    ratio = 1.0 + 0.4 * (np.random.rand() - 0.5)
    hsv[:,:,2] =  hsv[:,:,2] * ratio
    return cv2.cvtColor(hsv, cv2.COLOR_HSV2RGB)"
1470,Randomly change the brightness of an image,"def increase_brightness(img):
    M = np.ones(img.shape, dtype=""uint8"") * 100
    added = cv2.add(img, M)
    return added"
1471,Randomly change the brightness of an image,"def decrease_brightness(img):
    M = np.ones(img.shape, dtype=""uint8"") * 100
    subtracted = cv2.subtract(img, M)
    return subtracted"
1472,Randomly adjust the image's brightness,"def random_brightness(image, mask, brightness_range=(-0.5, 0.5), u=0.5):
    if np.random.random() < u:
        x = random_channel_shift(image, np.random.uniform(brightness_range[0], brightness_range[1]))
        y = random_channel_shift(mask, np.random.uniform(brightness_range[0], brightness_range[1]))
    else:
        x = image
        y = mask
    return x, y"
1473,Randomly tweak the brightness of the image,"def random_brightness(image, mask, brightness_range=(-0.5, 0.5), u=0.5):
    if np.random.random() < u:
        x = random_channel_shift(image, np.random.uniform(brightness_range[0], brightness_range[1]))
        y = random_channel_shift(mask, np.random.uniform(brightness_range[0], brightness_range[1]))
    else:
        x = image
        y = mask
    return x, y"
1474,Randomize image brightness,"def random_brightness(image, mask, brightness_range=(-0.5, 0.5), u=0.5):
    if np.random.random() < u:
        x = random_channel_shift(image, np.random.uniform(brightness_range[0], brightness_range[1]))
        y = random_channel_shift(mask, np.random.uniform(brightness_range[0], brightness_range[1]))
    else:
        x = image
        y = mask
    return x, y"
1475,Change the brighntess of image randomly,"def random_brightness(image):
    hsv = cv2.cvtColor(image,cv2.COLOR_BGR2HSV)
    rand = random.uniform(0.3,1.0)
    hsv[:,:,2] = rand*hsv[:,:,2]
    new_img = cv2.cvtColor(hsv,cv2.COLOR_HSV2BGR)
    return new_img"
1476,Change the brighntess of image randomly,"def random_brightness(image):
    hsv = cv2.cvtColor(image, cv2.COLOR_RGB2HSV)
    ratio = 1.0 + 0.4 * (np.random.rand() - 0.5)
    hsv[:,:,2] =  hsv[:,:,2] * ratio
    return cv2.cvtColor(hsv, cv2.COLOR_HSV2RGB)"
1477,Change the brighntess of image randomly,"def increase_brightness(img):
    M = np.ones(img.shape, dtype=""uint8"") * 100
    added = cv2.add(img, M)
    return added"
1478,Change the brighntess of image randomly,"def decrease_brightness(img):
    M = np.ones(img.shape, dtype=""""uint8"""") * 100
    subtracted = cv2.subtract(img, M)
    return subtracted"
1479,Randomly alter the brightness of the image,"def random_brightness(image, mask, brightness_range=(-0.5, 0.5), u=0.5):
    if np.random.random() < u:
        x = random_channel_shift(image, np.random.uniform(brightness_range[0], brightness_range[1]))
        y = random_channel_shift(mask, np.random.uniform(brightness_range[0], brightness_range[1]))
    else:
        x = image
        y = mask
    return x, y"
1480,Randomly alter the brightness of the image,"def random_brightness(image):
    hsv = cv2.cvtColor(image, cv2.COLOR_RGB2HSV)
    ratio = 1.0 + 0.4 * (np.random.rand() - 0.5)
    hsv[:,:,2] =  hsv[:,:,2] * ratio
    return cv2.cvtColor(hsv, cv2.COLOR_HSV2RGB)"
1481,Randomly alter the brightness of the image,"def increase_brightness(img):
    M = np.ones(img.shape, dtype=""uint8"") * 100
    added = cv2.add(img, M)
    return added"
1482,Randomly alter the brightness of the image,"def decrease_brightness(img):
    M = np.ones(img.shape, dtype=""uint8"") * 100
    subtracted = cv2.subtract(img, M)
    return subtracted"
1483,Alter the image's brighntess at random,"def random_brightness(image, mask, brightness_range=(-0.5, 0.5), u=0.5):
    if np.random.random() < u:
        x = random_channel_shift(image, np.random.uniform(brightness_range[0], brightness_range[1]))
        y = random_channel_shift(mask, np.random.uniform(brightness_range[0], brightness_range[1]))
    else:
        x = image
        y = mask
    return x, y"
1484,Alter the image's brighntess at random,"def random_brightness(image):
    hsv = cv2.cvtColor(image,cv2.COLOR_BGR2HSV)
    rand = random.uniform(0.3,1.0)
    hsv[:,:,2] = rand*hsv[:,:,2]
    new_img = cv2.cvtColor(hsv,cv2.COLOR_HSV2BGR)
    return new_img"
1485,Alter the image's brighntess at random,"def increase_brightness(img):
    M = np.ones(img.shape, dtype=""uint8"") * 100
    added = cv2.add(img, M)
    return added"
1486,Alter the image's brighntess at random,"def decrease_brightness(img):
    M = np.ones(img.shape, dtype=""uint8"") * 100
    subtracted = cv2.subtract(img, M)
    return subtracted"
1487,Randomly change the brightness of an image,"def random_brightness(image, mask, brightness_range=(-0.5, 0.5), u=0.5):
    if np.random.random() < u:
        x = random_channel_shift(image, np.random.uniform(brightness_range[0], brightness_range[1]))
        y = random_channel_shift(mask, np.random.uniform(brightness_range[0], brightness_range[1]))
    else:
        x = image
        y = mask
    return x, y"
1488,Randomly change the brightness of an image,"def random_brightness(image):
    hsv = cv2.cvtColor(image,cv2.COLOR_BGR2HSV)
    rand = random.uniform(0.3,1.0)
    hsv[:,:,2] = rand*hsv[:,:,2]
    new_img = cv2.cvtColor(hsv,cv2.COLOR_HSV2BGR)
    return new_img"
1489,Randomly change the brightness of an image,"def random_brightness(image):
    hsv = cv2.cvtColor(image, cv2.COLOR_RGB2HSV)
    ratio = 1.0 + 0.4 * (np.random.rand() - 0.5)
    hsv[:,:,2] =  hsv[:,:,2] * ratio
    return cv2.cvtColor(hsv, cv2.COLOR_HSV2RGB)"
1490,Randomly adjust the image's brightness,"def random_brightness(image):
    hsv = cv2.cvtColor(image, cv2.COLOR_RGB2HSV)
    ratio = 1.0 + 0.4 * (np.random.rand() - 0.5)
    hsv[:,:,2] =  hsv[:,:,2] * ratio
    return cv2.cvtColor(hsv, cv2.COLOR_HSV2RGB)"
1491,Randomly adjust the image's brightness,"def random_brightness(image):
    hsv = cv2.cvtColor(image,cv2.COLOR_BGR2HSV)
    rand = random.uniform(0.3,1.0)
    hsv[:,:,2] = rand*hsv[:,:,2]
    new_img = cv2.cvtColor(hsv,cv2.COLOR_HSV2BGR)
    return new_img"
1492,Randomly adjust the image's brightness,"def increase_brightness(img):
    M = np.ones(img.shape, dtype=""uint8"") * 100
    added = cv2.add(img, M)
    return added"
1493,Randomly adjust the image's brightness,"def decrease_brightness(img):
    M = np.ones(img.shape, dtype=""""uint8"""") * 100
    subtracted = cv2.subtract(img, M)
    return subtracted"
1494,Randomly tweak the brightness of the image,"def random_brightness(image):
    hsv = cv2.cvtColor(image,cv2.COLOR_BGR2HSV)
    rand = random.uniform(0.3,1.0)
    hsv[:,:,2] = rand*hsv[:,:,2]
    new_img = cv2.cvtColor(hsv,cv2.COLOR_HSV2BGR)
    return new_img"
1495,Randomly tweak the brightness of the image,"def random_brightness(image):
    hsv = cv2.cvtColor(image, cv2.COLOR_RGB2HSV)
    ratio = 1.0 + 0.4 * (np.random.rand() - 0.5)
    hsv[:,:,2] =  hsv[:,:,2] * ratio
    return cv2.cvtColor(hsv, cv2.COLOR_HSV2RGB)"
1496,Randomly tweak the brightness of the image,"def increase_brightness(img):
    M = np.ones(img.shape, dtype=""uint8"") * 100
    added = cv2.add(img, M)
    return added"
1497,Randomly tweak the brightness of the image,"def decrease_brightness(img):
    M = np.ones(img.shape, dtype=""uint8"") * 100
    subtracted = cv2.subtract(img, M)
    return subtracted"
1498,Randomize image brightness,"def random_brightness(image):
    hsv = cv2.cvtColor(image,cv2.COLOR_BGR2HSV)
    rand = random.uniform(0.3,1.0)
    hsv[:,:,2] = rand*hsv[:,:,2]
    new_img = cv2.cvtColor(hsv,cv2.COLOR_HSV2BGR)
    return new_img"
1499,Randomize image brightness,"def random_brightness(image):
    hsv = cv2.cvtColor(image, cv2.COLOR_RGB2HSV)
    ratio = 1.0 + 0.4 * (np.random.rand() - 0.5)
    hsv[:,:,2] =  hsv[:,:,2] * ratio
    return cv2.cvtColor(hsv, cv2.COLOR_HSV2RGB)"
1500,Randomize image brightness,"def increase_brightness(img):
    M = np.ones(img.shape, dtype=""uint8"") * 100
    added = cv2.add(img, M)
    return added"
1501,Randomize image brightness,"def decrease_brightness(img):
    M = np.ones(img.shape, dtype=""uint8"") * 100
    subtracted = cv2.subtract(img, M)
    return subtracted"
1502,Shift the channels randomly,"def random_channel_shift(image, intensity, channel_axis=2, u=0.5):
    if np.random.random() < u:
        image = np.rollaxis(image, channel_axis, 0)
        min_x, max_x = np.min(image), np.max(image)
        channel_images = [np.clip(x_channel + np.random.uniform(-intensity, intensity), min_x, max_x)
                          for x_channel in image]
        image = np.stack(channel_images, axis=0)
        image = np.rollaxis(image, 0, channel_axis + 1)
    return image"
1503,Shift the channels randomly,"def random_channel_shift(x, intensity, channel_index=0):
    x = np.rollaxis(x, channel_index, 0)
    min_x, max_x = np.min(x), np.max(x)
    channel_images = [np.clip(x_channel + np.random.uniform(-intensity, intensity), min_x, max_x)
                      for x_channel in x]
    x = np.stack(channel_images, axis=0)
    x = np.rollaxis(x, 0, channel_index+1)
    return x"
